goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_distinct-24     	      24	  49092253 ns/op	   60998 B/op	     159 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/count_distinct-24     	      24	  48892786 ns/op	   61002 B/op	     159 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  48918329 ns/op	   39006 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  48800728 ns/op	   38956 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  48838689 ns/op	   39006 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  49009829 ns/op	   39006 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  49060359 ns/op	   38956 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  48908851 ns/op	   39006 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  48906939 ns/op	   39010 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  49124412 ns/op	   39006 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  50266782 ns/op	   39006 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_72x72/sum-24                	      24	  49796171 ns/op	   39006 B/op	      75 allocs/op
PASS
ok  	github.com/ponchione/shunter/subscription	179.018s
