goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor            
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   23833	     50056 ns/op	   88796 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   23978	     49399 ns/op	   88797 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   23798	     49829 ns/op	   88799 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinRelationShapes/cross3_rows_24-24         	   24066	     51840 ns/op	   88802 B/op	      85 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3454	    349206 ns/op	   38263 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3471	    347778 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3410	    348041 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3362	    348261 ns/op	   38270 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3438	    347205 ns/op	   38268 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3392	    346633 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3396	    347142 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3408	    346349 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3397	    346997 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/one_match-24        	    3463	    348525 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3276	    361106 ns/op	   46882 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3231	    361831 ns/op	   46894 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3262	    356784 ns/op	   46890 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3314	    357909 ns/op	   46891 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3370	    358967 ns/op	   46892 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3374	    359447 ns/op	   46887 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3250	    359526 ns/op	   46889 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3342	    359364 ns/op	   46894 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3355	    358227 ns/op	   46891 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinSelectivity/rows_128/hot_key_8x8-24      	    3284	    357884 ns/op	   46892 B/op	      79 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3139	    381396 ns/op	   38264 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3015	    385093 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3123	    382474 ns/op	   38268 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3033	    382305 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3111	    380388 ns/op	   38266 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3110	    383327 ns/op	   38265 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3104	    381720 ns/op	   38265 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3138	    381802 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3091	    382117 ns/op	   38268 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_1-24        	    3008	    384930 ns/op	   38267 B/op	      68 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2715	    433140 ns/op	   41319 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2775	    433399 ns/op	   41326 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2682	    434173 ns/op	   41318 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2740	    433679 ns/op	   41322 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2688	    432655 ns/op	   41334 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2772	    433374 ns/op	   41324 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2770	    434209 ns/op	   41325 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2752	    434458 ns/op	   41325 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2742	    435758 ns/op	   41324 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_10-24       	    2752	    433889 ns/op	   41328 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1263	    954849 ns/op	   94192 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1248	    947085 ns/op	   94105 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1228	    949277 ns/op	   94207 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1268	    948634 ns/op	   94175 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1251	    947641 ns/op	   94228 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1243	    946474 ns/op	   94146 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1264	    942299 ns/op	   94086 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1264	    947103 ns/op	   94226 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1267	    946524 ns/op	   94151 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinChangedRows/rows_128/changed_100-24      	    1274	    946207 ns/op	   94179 B/op	     183 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     511	   2344774 ns/op	   38558 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     510	   2346343 ns/op	   38577 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     508	   2341426 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     510	   2341219 ns/op	   38577 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     510	   2346386 ns/op	   38577 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     510	   2348233 ns/op	   38577 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     512	   2355466 ns/op	   38577 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     502	   2346270 ns/op	   38558 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     508	   2347299 ns/op	   38578 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/chain3/count-24  	     511	   2349199 ns/op	   38577 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 100952558 ns/op	   40401 B/op	      77 allocs/op
BenchmarkMultiWayLiveJoinAggregateRelationShapes/self_alias3/count-24         	      14	 101101880 ns/op	   40401 B/op	      77 allocs/op
