goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor
BenchmarkMultiWayLiveJoinAggregateRelationShapes/cross3_rows_32/count-24          	    1702	    714010 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     498	   2357879 ns/op	   38562 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     507	   2353022 ns/op	   38559 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     506	   2367817 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     504	   2368534 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     506	   2396384 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     500	   2369844 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     506	   2357453 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     501	   2359505 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     510	   2385457 ns/op	   38556 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_star-24                  	     502	   2360433 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     501	   2376144 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     505	   2363285 ns/op	   38557 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     501	   2375219 ns/op	   38572 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     501	   2369850 ns/op	   38562 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     506	   2382675 ns/op	   38560 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     502	   2369469 ns/op	   38561 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain3/count_column-24                	     504	   2382347 ns/op	   38560 B/op	      73 allocs/op
